tam_entrada, resultado, tempo_usuario, tempo_sistema
495, 36, 0.0217400, 0.0000000
496, 36, 0.0218420, 0.0000000
497, 36, 0.0278360, 0.0000000
498, 36, 0.0266340, 0.0000000
499, 36, 0.0212570, 0.0000000
500, 36, 0.0244990, 0.0000000
501, 36, 0.0264500, 0.0000000
502, 36, 0.0217060, 0.0000000
503, 36, 0.0231570, 0.0000000
504, 36, 0.0211990, 0.0000000
505, 36, 0.0285250, 0.0000000
506, 36, 0.0221810, 0.0000000
507, 36, 0.0242280, 0.0000000
508, 36, 0.0228690, 0.0000000
509, 36, 0.0227170, 0.0000000
510, 36, 0.0293990, 0.0000000
511, 36, 0.0234840, 0.0000000
512, 36, 0.0245340, 0.0000000
513, 36, 0.0336930, 0.0000000
514, 36, 0.0246610, 0.0000000
515, 36, 0.0224710, 0.0000000
516, 36, 0.0222490, 0.0000000
517, 37, 0.0226160, 0.0000000
518, 37, 0.0274080, 0.0000000
519, 37, 0.0284700, 0.0000000
520, 37, 0.0269420, 0.0000000
521, 37, 0.0290120, 0.0000000
522, 37, 0.0258160, 0.0000000
523, 37, 0.0284130, 0.0000000
524, 37, 0.0227120, 0.0000000
525, 37, 0.0278220, 0.0000000
526, 37, 0.0230580, 0.0000000
527, 37, 0.0238110, 0.0000000
528, 38, 0.0233300, 0.0000000
529, 38, 0.0240580, 0.0000000
530, 38, 0.0286180, 0.0000000
531, 38, 0.0255570, 0.0000000
532, 38, 0.0251540, 0.0000000
533, 38, 0.0270210, 0.0000000
534, 38, 0.0262070, 0.0000000
535, 38, 0.0305870, 0.0000000
536, 38, 0.0265190, 0.0000000
537, 38, 0.0289110, 0.0000000
538, 38, 0.0297370, 0.0000000
539, 38, 0.0272130, 0.0000000
540, 38, 0.0262810, 0.0000000
541, 38, 0.0288360, 0.0000000
542, 38, 0.0287850, 0.0000000
543, 38, 0.0248770, 0.0000000
544, 38, 0.0307740, 0.0000000
545, 38, 0.0253670, 0.0000000
546, 38, 0.0269650, 0.0000000
547, 38, 0.0277710, 0.0000000
548, 38, 0.0278980, 0.0000000
549, 38, 0.0289520, 0.0000000
550, 38, 0.0332570, 0.0000000
551, 38, 0.0264030, 0.0000000
552, 38, 0.0280180, 0.0000000
553, 38, 0.0272810, 0.0000000
554, 39, 0.0295610, 0.0000000
555, 39, 0.0272370, 0.0000000
556, 39, 0.0296140, 0.0000000
557, 39, 0.0259570, 0.0000000
558, 39, 0.0305320, 0.0000000
559, 39, 0.0300060, 0.0000000
560, 39, 0.0271240, 0.0000000
561, 40, 0.0292220, 0.0000000
562, 40, 0.0300750, 0.0000000
563, 40, 0.0297140, 0.0000000
564, 40, 0.0269760, 0.0000000
565, 40, 0.0297330, 0.0000000
566, 40, 0.0290300, 0.0000000
567, 40, 0.0274590, 0.0000000
568, 40, 0.0292100, 0.0000000
569, 40, 0.0358540, 0.0000000
570, 40, 0.0291910, 0.0000000
571, 40, 0.0292310, 0.0000000
572, 40, 0.0279240, 0.0000000
573, 40, 0.0301550, 0.0000000
574, 40, 0.0290560, 0.0000000
575, 40, 0.0310460, 0.0000000
576, 40, 0.0295350, 0.0000000
577, 41, 0.0354120, 0.0000000
578, 41, 0.0427290, 0.0000000
579, 41, 0.0363140, 0.0000000
580, 41, 0.0307420, 0.0000000
581, 41, 0.0317420, 0.0000000
582, 41, 0.0370060, 0.0000000
583, 41, 0.0344690, 0.0000000
584, 41, 0.0312630, 0.0000000
585, 41, 0.0325950, 0.0000000
586, 41, 0.0291250, 0.0000000
587, 41, 0.0415200, 0.0000000
588, 41, 0.0448590, 0.0000000
589, 41, 0.0365570, 0.0000000
590, 41, 0.0349390, 0.0000000
591, 41, 0.0336080, 0.0000000
592, 41, 0.0368980, 0.0000000
593, 41, 0.0388630, 0.0000000
594, 41, 0.0378310, 0.0000000
595, 41, 0.0426780, 0.0000000
596, 41, 0.0418110, 0.0000000
597, 41, 0.0338800, 0.0000000
598, 41, 0.0398050, 0.0000000
599, 41, 0.0421790, 0.0000000
600, 41, 0.0388350, 0.0000000
601, 41, 0.0359050, 0.0000000
602, 41, 0.0362360, 0.0000000
603, 41, 0.0384960, 0.0000000
604, 41, 0.0397660, 0.0000000
605, 41, 0.0402610, 0.0000000
606, 41, 0.0421360, 0.0000000
607, 41, 0.0346850, 0.0000000
608, 41, 0.0377730, 0.0000000
609, 41, 0.0388610, 0.0000000
610, 41, 0.0386720, 0.0000000
611, 41, 0.0338970, 0.0000000
612, 41, 0.0362090, 0.0000000
613, 41, 0.0318830, 0.0000000
614, 41, 0.0460410, 0.0000000
615, 41, 0.0384860, 0.0000000
616, 41, 0.0423070, 0.0000000
617, 42, 0.0356770, 0.0000000
618, 42, 0.0336280, 0.0000000
619, 42, 0.0361830, 0.0000000
620, 42, 0.0487700, 0.0000000
621, 42, 0.0355630, 0.0000000
622, 42, 0.0469680, 0.0000000
623, 42, 0.0539360, 0.0000000
624, 42, 0.0529540, 0.0000000
625, 42, 0.0544330, 0.0000000
626, 42, 0.0586750, 0.0000000
627, 42, 0.0484640, 0.0000000
628, 42, 0.0337600, 0.0000000
629, 42, 0.0399050, 0.0000000
630, 42, 0.0322540, 0.0000000
631, 42, 0.0379980, 0.0000000
632, 42, 0.0463420, 0.0000000
633, 43, 0.0490320, 0.0000000
634, 43, 0.0344290, 0.0000000
635, 43, 0.0325100, 0.0000000
636, 43, 0.0336630, 0.0000000
637, 43, 0.0329070, 0.0000000
638, 43, 0.0341540, 0.0000000
639, 43, 0.0471790, 0.0000000
640, 43, 0.0395520, 0.0000000
641, 43, 0.0512170, 0.0000000
642, 43, 0.0347870, 0.0000000
643, 43, 0.0380830, 0.0000000
644, 43, 0.0372580, 0.0000000
645, 43, 0.0335220, 0.0000000
646, 43, 0.0343280, 0.0000000
647, 43, 0.0372990, 0.0000000
648, 43, 0.0421440, 0.0000000
649, 43, 0.0396580, 0.0000000
650, 43, 0.0371810, 0.0000000
651, 43, 0.0361300, 0.0000000
652, 43, 0.0379850, 0.0000000
653, 43, 0.0395750, 0.0000000
654, 43, 0.0389330, 0.0000000
655, 43, 0.0379430, 0.0000000
656, 43, 0.0347090, 0.0000000
657, 43, 0.0347720, 0.0000000
658, 43, 0.0385260, 0.0000000
659, 43, 0.0422520, 0.0000000
660, 43, 0.0447880, 0.0000000
661, 43, 0.0352340, 0.0000000
662, 43, 0.0355820, 0.0000000
